"scenario_id","decision_month","customer_unique_id","anchor_date","recommended_offer_type","final_policy_name","is_selected","net_ev_scn","incremental_profit_scn","expected_margin_value_scn","offer_cost_scn","expected_offer_cost_scn","p_offer_scn","priority_rank","cut_by_buffer_flag","missing_p_offer_flag","budget_amount","spend_expected_selected","spend_p95_selected","roi_expected","p95_overspend_flag_month","raw_overspend_flag_month"
LIFT_125,2017-12-01 00:00:00.000 +0300,"2fe074ea3cc24b8fd57d29effc995f8b",2017-12-14,free_shipping,p95_buffer,1,1.313112331081082,6.081017736486488,239.9975,51.32,4.767905405405406,0.09290540540540541,1,0,0,49.42524215239985,4.767905405405406,29.275423437973906,1.2754065400694397,0,1
LIFT_125,2018-01-01 00:00:00.000 +0300,ee3adea169ca02ca9bd1e80bc620856e,2018-01-04,free_shipping,p95_buffer,1,3.209343434343434,4.993055555555555,179.75,13.85,1.7837121212121212,0.12878787878787878,1,0,0,40.94318845122896,5.4855584561834565,19.965426037609376,2.02903180213377,0,1
LIFT_125,2018-01-01 00:00:00.000 +0300,"071fb07419a29c8ba143831082e0320a",2018-01-15,free_shipping,p95_buffer,1,1.2872888513513516,2.533150337837838,99.975,13.41,1.2458614864864865,0.09290540540540541,2,0,0,40.94318845122896,5.4855584561834565,19.965426037609376,2.02903180213377,0,1
LIFT_125,2018-01-01 00:00:00.000 +0300,"2b6ce149982204423f4efac29701255a",2018-01-22,free_shipping,p95_buffer,1,1.148181818181818,3.6041666666666665,129.75,19.07,2.4559848484848485,0.12878787878787878,3,0,0,40.94318845122896,5.4855584561834565,19.965426037609376,2.02903180213377,0,1
LIFT_125,2018-02-01 00:00:00.000 +0300,cb4f48aa5b4657435b012a65f2a122eb,2018-02-24,free_shipping,p95_buffer,1,3.176309121621623,5.066934121621623,199.975,20.35,1.8906250000000002,0.09290540540540541,1,0,0,38.585132585402334,1.8906250000000002,11.608629519929247,2.680031270940362,0,0
LIFT_125,2018-03-01 00:00:00.000 +0300,b248c92ec54199bedb1d603e0e6f98c6,2018-03-06,free_shipping,p95_buffer,1,6.43040404040404,9.722222222222221,350.0,25.56,3.2918181818181815,0.12878787878787878,1,0,0,59.47161976155465,7.466058046683047,29.513966234807597,2.0308248223092984,0,1
LIFT_125,2018-03-01 00:00:00.000 +0300,e35b2a3c980b6e0fc66c66b8e1122e93,2018-03-26,free_shipping,p95_buffer,1,0.6684966216216215,3.799408783783784,149.95,33.7,3.1309121621621627,0.09290540540540541,2,0,0,59.47161976155465,7.466058046683047,29.513966234807597,2.0308248223092984,0,1
LIFT_125,2018-03-01 00:00:00.000 +0300,"54732c804725f94304b9f2d1107a3d6e",2018-03-29,free_shipping,p95_buffer,1,0.5972972972972974,1.6406250000000002,64.75,11.23,1.0433277027027028,0.09290540540540541,3,0,0,59.47161976155465,7.466058046683047,29.513966234807597,2.0308248223092984,0,1
LIFT_125,2018-04-01 00:00:00.000 +0300,"19bedfc18c92d4e7eb6ba318a6c2033c",2018-04-16,free_shipping,p95_buffer,1,3.588429054054054,6.206503378378379,244.95,28.18,2.6180743243243247,0.09290540540540541,1,0,0,52.90745832048408,8.091949733824734,32.15185358087663,1.6858944842920232,0,1
LIFT_125,2018-04-01 00:00:00.000 +0300,d387ea85dc301a91740e31360d355686,2018-04-10,free_shipping,p95_buffer,1,1.0237878787878785,5.541666666666666,199.5,35.08,4.517878787878788,0.12878787878787878,2,0,0,52.90745832048408,8.091949733824734,32.15185358087663,1.6858944842920232,0,1
LIFT_125,2018-04-01 00:00:00.000 +0300,"038301b43811478e1a8dc0e476eaf52e",2018-04-24,free_shipping,p95_buffer,1,0.9380067567567572,1.8940033783783787,74.75,10.29,0.9559966216216216,0.09290540540540541,3,0,0,52.90745832048408,8.091949733824734,32.15185358087663,1.6858944842920232,0,1
LIFT_125,2018-05-01 00:00:00.000 +0300,d27295915d486516b99c3aed8628e83b,2018-05-07,free_shipping,p95_buffer,1,1.6383868243243254,5.009923986486488,197.725,36.29,3.3715371621621624,0.09290540540540541,1,0,0,51.80920640312676,11.30974047911548,37.45607212621799,1.3577404059345914,0,1
LIFT_125,2018-05-01 00:00:00.000 +0300,"3a43af6775cec872d9a3c80707eb3336",2018-05-16,free_shipping,p95_buffer,1,0.8722222222222222,2.076388888888889,74.75,9.35,1.2041666666666666,0.12878787878787878,2,0,0,51.80920640312676,11.30974047911548,37.45607212621799,1.3577404059345914,0,1
LIFT_125,2018-05-01 00:00:00.000 +0300,d132b863416f85f2abb1a988ca05dd12,2018-05-11,free_shipping,p95_buffer,1,0.5350084459459459,2.9765625000000004,117.475,26.28,2.4415540540540546,0.09290540540540541,3,0,0,51.80920640312676,11.30974047911548,37.45607212621799,1.3577404059345914,0,1
LIFT_125,2018-05-01 00:00:00.000 +0300,ce8b665ad7a00dfee2a4fbd19dedb82a,2018-05-21,free_shipping,p95_buffer,1,0.5212373737373737,3.076388888888889,110.75,19.84,2.555151515151515,0.12878787878787878,4,0,0,51.80920640312676,11.30974047911548,37.45607212621799,1.3577404059345914,0,1
LIFT_125,2018-05-01 00:00:00.000 +0300,"02e9109b7e0a985108b43e573b6afb23",2018-05-19,free_shipping,p95_buffer,1,0.4790962837837842,2.2164273648648654,87.475,18.7,1.7373310810810811,0.09290540540540541,5,0,0,51.80920640312676,11.30974047911548,37.45607212621799,1.3577404059345914,0,1
LIFT_125,2018-06-01 00:00:00.000 +0300,"68497ce04e9b12cb402671a29acdf6a2",2018-06-06,free_shipping,p95_buffer,1,1.2114231418918922,3.1354940878378383,123.7475,20.71,1.9240709459459462,0.09290540540540541,1,0,0,55.9327603145241,10.22535217035217,29.68680161002905,1.4599504413107676,0,1
LIFT_125,2018-06-01 00:00:00.000 +0300,da8ac849037c7201a41a4db0b1fa963e,2018-06-11,free_shipping,p95_buffer,1,1.0037162162162168,2.2170608108108114,87.5,13.06,1.2133445945945946,0.09290540540540541,2,0,0,55.9327603145241,10.22535217035217,29.68680161002905,1.4599504413107676,0,1
